Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,sova,0.69
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,cypher,0.56
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,omen,0.56
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,viper,0.44
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,killjoy,0.38
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,raze,0.31
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,breach,0.31
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,fade,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,neon,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,jett,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,astra,0.19
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,gekko,0.19
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,harbor,0.19
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,yoru,0.13
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,brimstone,0.13
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,skye,0.06
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,deadlock,0.06
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,kayo,0.06
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,iso,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,clove,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,sage,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,sova,0.75
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,cypher,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,omen,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,viper,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,killjoy,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,raze,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,breach,0.75
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,fade,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,neon,0.75
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,jett,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,astra,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,harbor,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,skye,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,kayo,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,iso,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,clove,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,sage,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,sova,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,cypher,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,omen,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,viper,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,killjoy,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,raze,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,breach,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,fade,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,neon,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,jett,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,astra,0.75
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,gekko,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,harbor,0.25
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,yoru,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,skye,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,iso,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,clove,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,sage,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,sova,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,cypher,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,omen,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,viper,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,killjoy,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,raze,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,breach,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,fade,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,neon,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,jett,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,astra,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,gekko,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,harbor,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,brimstone,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,skye,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,deadlock,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,iso,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,clove,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,sage,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,sova,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,cypher,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,omen,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,viper,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,killjoy,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,raze,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,breach,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,fade,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,neon,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,jett,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,astra,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,gekko,0.0
