Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,harbor,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,skye,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,iso,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,clove,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,sage,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,sova,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,cypher,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,omen,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,viper,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,killjoy,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,raze,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,breach,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,fade,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,neon,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,jett,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,astra,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,gekko,0.5
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,harbor,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,skye,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,iso,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,clove,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,sage,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,sova,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,cypher,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,omen,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,viper,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,killjoy,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,raze,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,breach,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,fade,1.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,neon,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,jett,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,astra,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,harbor,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,skye,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,iso,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,clove,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,sage,0.0
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,omen,0.8
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,neon,0.6
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,breach,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,sova,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,cypher,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,fade,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,viper,0.4
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,killjoy,0.4
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,raze,0.3
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,kayo,0.1
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,gekko,0.1
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,jett,0.1
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,harbor,0.1
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,clove,0.1
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,sage,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,skye,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,astra,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,iso,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,omen,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,neon,0.25
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,breach,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,sova,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,cypher,0.25
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,fade,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,viper,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,killjoy,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,raze,0.75
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,jett,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,harbor,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,clove,0.25
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,sage,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,skye,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,astra,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,iso,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,omen,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,neon,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,breach,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,sova,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,cypher,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,fade,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,viper,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,killjoy,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,raze,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,gekko,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,jett,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,harbor,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,clove,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,sage,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,skye,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,astra,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,iso,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,omen,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,neon,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,breach,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,sova,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,cypher,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,fade,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,viper,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,killjoy,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,raze,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,kayo,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,jett,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,harbor,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,clove,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,sage,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,skye,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,astra,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,iso,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,omen,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,neon,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,breach,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,sova,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,cypher,1.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,fade,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,viper,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,killjoy,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,raze,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,kayo,0.5
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,jett,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,harbor,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,clove,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,sage,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,skye,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,astra,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,iso,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,omen,0.67
Valorant Champions 2024,Playoffs,Upper Final,All Maps,sova,0.67
Valorant Champions 2024,Playoffs,Upper Final,All Maps,jett,0.67
Valorant Champions 2024,Playoffs,Upper Final,All Maps,kayo,0.33
Valorant Champions 2024,Playoffs,Upper Final,All Maps,breach,0.33
Valorant Champions 2024,Playoffs,Upper Final,All Maps,viper,0.33
Valorant Champions 2024,Playoffs,Upper Final,All Maps,cypher,0.33
Valorant Champions 2024,Playoffs,Upper Final,All Maps,fade,0.33
Valorant Champions 2024,Playoffs,Upper Final,All Maps,harbor,0.33
Valorant Champions 2024,Playoffs,Upper Final,All Maps,killjoy,0.33
Valorant Champions 2024,Playoffs,Upper Final,All Maps,raze,0.17
Valorant Champions 2024,Playoffs,Upper Final,All Maps,neon,0.17
Valorant Champions 2024,Playoffs,Upper Final,All Maps,astra,0.17
Valorant Champions 2024,Playoffs,Upper Final,All Maps,clove,0.17
Valorant Champions 2024,Playoffs,Upper Final,All Maps,iso,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,sage,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,skye,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Final,All Maps,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,omen,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,sova,1.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,jett,1.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,kayo,0.5
Valorant Champions 2024,Playoffs,Upper Final,Icebox,breach,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,viper,1.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,cypher,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,fade,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,harbor,0.5
Valorant Champions 2024,Playoffs,Upper Final,Icebox,killjoy,1.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,raze,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,neon,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,astra,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,clove,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,iso,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,sage,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,skye,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,brimstone,0.0
Valorant Champions 2024,Playoffs,Upper Final,Icebox,yoru,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,omen,1.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,sova,1.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,jett,1.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,kayo,0.5
Valorant Champions 2024,Playoffs,Upper Final,Abyss,breach,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,viper,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,cypher,0.5
Valorant Champions 2024,Playoffs,Upper Final,Abyss,fade,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,harbor,0.5
Valorant Champions 2024,Playoffs,Upper Final,Abyss,killjoy,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,raze,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,neon,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,astra,0.5
Valorant Champions 2024,Playoffs,Upper Final,Abyss,clove,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,iso,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,gekko,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,deadlock,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,phoenix,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,reyna,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,sage,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,skye,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,chamber,0.0
Valorant Champions 2024,Playoffs,Upper Final,Abyss,brimstone,0.0
